"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2016"
"Arab World","ARB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",84.5704252021265
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS",88.7686540243445
"Arab World","ARB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",78.7432067277372
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",96.7732841154726
"Arab World","ARB","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Arab World","ARB","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Arab World","ARB","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Arab World","ARB","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Arab World","ARB","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",91.5059230785793
"Caribbean small states","CSS","Access to electricity (% of population)","EG.ELC.ACCS.ZS",96.0163093060266
"Caribbean small states","CSS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.1331017598471
"Caribbean small states","CSS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",98.5077340396536
"Caribbean small states","CSS","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Caribbean small states","CSS","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Caribbean small states","CSS","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Caribbean small states","CSS","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Caribbean small states","CSS","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",95.4856400161012
"Central Europe and the Baltics","CEB","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Central Europe and the Baltics","CEB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
